#{"t_start": 1764448158.8439732, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
18.829272,1000,6.201236
14.572694,1000,15.286627
6.654002,1000,23.081276
30.13028,1000,31.343024
4.62712,1000,39.264032
85.633531,1000,47.231019
44.072175,1000,55.901819
139.347404,1000,64.248102
217.126645,1000,72.617551
258.452414,1000,80.760592
275.554113,1000,89.325505
194.202364,1000,97.28174
250.082071,1000,105.430423
195.198384,1000,113.569852
227.940995,1000,122.04228
257.456124,1000,130.01938
177.315546,1000,138.140613
480.012053,1000,145.791301
306.520646,1000,153.943111
393.237641,1000,161.941427
361.25812,1000,170.176149
225.518826,1000,178.43319
524.043947,1000,187.034899
486.869665,1000,195.115896
324.780312,1000,203.042377
489.803687,1000,211.663055
495.536374,1000,219.8345
491.775432,1000,228.595064
492.416974,1000,237.187926
494.685084,1000,245.710631
523.642599,1000,253.578792
526.943331,1000,260.368697
571.286127,1000,266.93705
542.323677,1000,273.575566
509.837341,1000,280.285773
571.630525,1000,286.959938
714.967506,1000,293.616906
686.126629,1000,300.288845
698.53069,1000,307.637812
698.189041,1000,315.380051
677.887847,1000,322.919671
649.342889,1000,330.337475
633.364875,1000,337.235516
651.021855,1000,344.127285
648.636873,1000,350.470019
559.161566,1000,357.894547
643.394917,1000,364.899574
670.634029,1000,371.967512
711.889223,1000,378.83067
700.827699,1000,385.581982
715.486514,1000,392.343129
696.377514,1000,399.421211
667.508166,1000,406.535849
668.59171,1000,413.920908
651.134733,1000,421.530794
745.625052,1000,429.016129
728.75716,1000,436.340297
758.64391,1000,443.694826
751.381809,1000,450.694466
768.906402,1000,458.17863
729.488232,1000,464.959774
773.28177,1000,471.753847
765.739567,1000,478.330559
781.499302,1000,485.236921
796.230106,1000,492.371758
798.998561,1000,499.479279
808.289386,1000,506.556042
806.271095,1000,513.423085
809.380393,1000,520.363162
818.384447,1000,527.834949
818.250219,1000,535.331906
817.900048,1000,542.731848
821.167534,1000,550.692417
821.208126,1000,559.091334
820.76187,1000,566.148599
825.481951,1000,573.003778
825.91493,1000,579.700748
827.474366,1000,586.673182
817.010698,1000,593.76032
820.896667,1000,600.887211
809.585198,1000,607.744393
807.845799,1000,614.547519
806.114627,1000,621.728727
824.733214,1000,628.62525
798.039268,1000,635.656646
818.571503,1000,642.712456
824.586898,1000,649.997815
825.76388,1000,657.050071
822.634512,1000,664.456403
821.784371,1000,671.404206
820.126514,1000,678.401085
823.080944,1000,685.192432
818.663833,1000,692.064306
816.662828,1000,699.054245
828.645616,1000,706.24834
817.67206,1000,712.883189
829.6123,1000,720.342105
831.236789,1000,727.721856
816.197235,1000,734.566929
817.81229,1000,741.590097
803.116573,1000,748.822564
827.744437,1000,755.948073
811.084043,1000,762.77938
821.707229,1000,770.105835
826.25632,1000,778.073462
822.831233,1000,785.003458
827.948486,1000,791.849848
827.26578,1000,799.776995
832.76485,1000,807.51302
820.776729,1000,814.595415
826.888513,1000,821.509864
833.094673,1000,828.548901
836.004869,1000,836.067999
833.411783,1000,843.245711
829.609356,1000,850.898918
834.35759,1000,858.358739
834.012214,1000,865.444803
839.696404,1000,875.181362
819.971287,1000,885.188471
838.798478,1000,893.009382
835.099564,1000,900.83823
837.882878,1000,908.68125
837.536751,1000,916.945021
831.876957,1000,925.681218
831.10755,1000,933.676285
827.264177,1000,942.132647
812.243557,1000,950.529788
833.628656,1000,958.258513
835.357003,1000,966.34852
827.976176,1000,975.550301
835.937313,1000,983.63879
837.600815,1000,991.725725
835.672219,1000,1000.169267
840.630477,1000,1008.152251
836.874382,1000,1016.470817
835.611087,1000,1024.63335
839.179072,1000,1032.435787
845.662753,1000,1040.589629
839.813943,1000,1049.015636
841.031087,1000,1057.476552
845.543888,1000,1065.918571
842.723685,1000,1074.239821
845.393027,1000,1082.659312
841.936094,1000,1090.575695
847.238417,1000,1098.655416
842.823698,1000,1107.193717
845.443127,1000,1115.270883
844.229583,1000,1122.174385
848.183602,1000,1130.017921
840.077326,1000,1138.274306
845.022705,1000,1146.706465
838.574824,1000,1155.070592
841.99705,1000,1163.506937
844.60445,1000,1171.339437
843.223815,1000,1180.055449
844.636772,1000,1188.304674
845.705776,1000,1196.491261
846.836504,1000,1204.661628
846.40482,1000,1212.306895
842.456994,1000,1220.321685
844.84565,1000,1228.163864
845.126738,1000,1236.249753
849.382522,1000,1244.79043
847.569702,1000,1252.825884
849.285667,1000,1260.891097
851.179342,1000,1268.93902
851.618463,1000,1276.696289
851.887038,1000,1284.207074
851.833611,1000,1292.181664
851.277938,1000,1300.604503
852.336512,1000,1308.216567
856.69971,1000,1316.60395
856.322277,1000,1324.608053
856.401076,1000,1332.854783
851.444487,1000,1341.29365
856.032177,1000,1349.80125
853.973338,1000,1358.131992
857.443615,1000,1366.728566
856.574336,1000,1374.917576
859.321183,1000,1382.889962
854.297216,1000,1390.751405
858.650982,1000,1398.400379
856.336291,1000,1405.877781
854.339369,1000,1413.825409
856.063243,1000,1420.92825
854.568051,1000,1428.027226
855.607069,1000,1435.171253
854.968247,1000,1443.191024
857.25822,1000,1452.64421
854.275958,1000,1461.346283
854.078757,1000,1470.028175
850.133358,1000,1479.257497
851.801233,1000,1487.867594
843.545629,1000,1496.489259
856.211234,1000,1505.495158
851.694917,1000,1514.663334
849.30453,1000,1523.665532
851.669129,1000,1531.51937
850.973341,1000,1539.873747
850.916824,1000,1548.542216
